#انتفاضه_الجيش_المصري
#يب_ضي
ياسين مرعي
احمد ربيع
الشرط الجزايي
بن رمضان
بن شرقي
ياسر ابراهيم
كابتن معتمد
#الزمالك_انبي
الشوط التاني
معتمد جمال
محمد هاني
مصطفي شوبير
فيستون مايلي
محمود ناجي
نظام الطيبات
الشوط الاول
سيف الجزيري
الماتش الجاي
اسلام مهدي
#الاسهم_السعوديه
اليوم الاثنين
محمد شريف
#نحو_غد_اخضر
عماد النحاس
الجهاز الاداري
مصطفي مدبولي رييس مجلس الوزراء
الجهاز الفني
مدير فني
تامر حسني
صوت الجمهور
المواجهات المباشره
كمال مدبولي
سري الليل
الفرقه الملط
احمد السيد
حامد حمدان
رييس نادي
مومن حسن
التحكيم الاجنبي
علاء ميهوب
مروان عثمان
المدير الفني
الاداره الفاشله
الجيش المصري
علي الكونفدراليه
مروان عطيه
علي معلول
المدرب الفاشل
